TRANSACID,CUSTID,CCID,TAXSTATE,CUSTFIRST,CUSTLASTNAME,PHONE,EMAIL,ADDRESS1,ADDRESS2,CUSTCITY,CUSTSTATE,CUSTZIP,CARDFLAG,REWARDTIER,ONLINEFLAG,PURCHASE_DATE,CCAMOUNT,GCAMOUNT,SHIPPINGTYPE,SHIPPINGRATE,StoreID,STORENAME,STOREADDRESS,STORECITY,STORESTATE,STOREZIP,Grade
1,1,1,AL,Mile,Kellough,253-872-6601,mkellough0@angelfire.com,234 Stang Pass,143 Carioca Pass,Tacoma,AL,10001,Y,Elite+,Y,12/29/2019,812,287,2-day,0.06,1,SNES BestBuy,55018 Hagan Center,West Palm Beach,FL,10001,C
2,2,2,AK,Honey,Collie,484-113-7105,hcollie1@cbslocal.com,830 Fuller Street,81025 Mandrake Alley,Valley Forge,AK,10002,Y,Elite+,N,8/7/2020,46,771,None,0,2,SPKE BestBuy,125 Kropf Way,Milwaukee,WI,10002,C
3,3,3,AZ,Tobye,Vasechkin,646-799-1770,tvasechkin2@skyrock.com,553 Fuller Road,194 Eastwood Court,New York City,AZ,10003,Y,Standard,N,7/20/2020,930,199,None,0,3,TRUE BestBuy,890 Bobwhite Street,Inglewood,CA,10003,A
4,4,4,AR,Carroll,Dewdney,847-729-1729,cdewdney3@washingtonpost.com,88809 Dawn Court,17789 Montana Street,Chicago,AR,10004,N,Elite,Y,11/7/2020,496,891,2-day,0.06,4,EPD BestBuy,446 Shasta Trail,Miami,FL,10004,B
5,5,5,CA,Annalee,Aleksankov,251-419-4454,aaleksankov4@com.com,00008 Blackbird Crossing,76934 Hanover Hill,Mobile,CA,10005,N,Standard,N,5/14/2020,771,23,None,0,5,PPSI BestBuy,95 Susan Park,Clearwater,FL,10005,E
6,6,6,CO,Marylee,Kyles,727-721-3879,mkyles5@symantec.com,25 Hayes Junction,25 Oakridge Crossing,Clearwater,CO,10006,Y,Elite+,N,11/24/2019,575,644,None,0,6,CNX BestBuy,70504 Express Pass,Columbia,SC,10006,D
7,7,7,CT,Boigie,Brentnall,336-935-0580,bbrentnall6@imageshack.us,70 Sachs Terrace,0 Doe Crossing Lane,Winston Salem,CT,10007,N,Elite,Y,6/15/2020,4,748,2-day,0.06,7,FCE.A BestBuy,2 Old Shore Road,Tulsa,OK,10007,F
8,8,8,DE,Raphael,Seamarke,678-599-5321,rseamarke7@yellowpages.com,0087 Dahle Court,0436 Talmadge Terrace,Lawrenceville,DE,10008,Y,Elite,N,12/5/2019,311,38,None,0,8,WIX BestBuy,1 Sachtjen Terrace,Nashville,TN,10008,F
9,9,9,FL,Gallagher,Guerry,212-360-5943,gguerry8@si.edu,29545 Doe Crossing Lane,22119 Commercial Center,New York City,FL,10009,Y,Elite,Y,7/19/2020,263,658,2-day,0.06,9,HGH BestBuy,788 South Lane,Tucson,AZ,10009,F
10,10,10,GA,Cathlene,Borrie,907-741-9543,cborrie9@spotify.com,1388 Eastwood Lane,62338 Veith Center,Anchorage,GA,10010,N,Standard,N,9/4/2020,117,568,None,0,10,DIN BestBuy,90270 Katie Junction,Tulsa,OK,10010,D
11,11,11,HI,Carter,Prettyman,239-203-0384,cprettymana@is.gd,5519 Kenwood Junction,347 Carey Court,Naples,HI,10011,N,Standard,Y,7/15/2020,797,599,2-day,0.06,11,THLD BestBuy,320 Barby Parkway,Reading,PA,10011,B
12,12,12,ID,Bennie,Fransinelli,573-568-5295,bfransinellib@cbsnews.com,7181 Commercial Street,98 Autumn Leaf Way,Columbia,ID,10012,N,Standard,N,10/13/2020,816,322,None,0,12,DLB BestBuy,8085 Kingsford Junction,Greenville,SC,10012,F
13,13,13,IL,Alaster,Aphale,916-167-0374,aaphalec@tamu.edu,39180 Service Point,6846 Haas Point,Sacramento,IL,10013,N,Elite,Y,2/5/2020,44,515,2-day,0.06,13,TZOO BestBuy,320 Kingsford Street,San Antonio,TX,10013,D
14,14,14,IN,Helli,Marzellano,850-111-3602,hmarzellanod@wp.com,6314 Weeping Birch Center,44741 Canary Terrace,Pensacola,IN,10014,N,Standard,N,9/4/2020,941,989,None,0,14,AIC BestBuy,8 Derek Hill,Arlington,VA,10014,B
15,15,15,IA,Renee,Gatward,937-682-3645,rgatwarde@who.int,8 Florence Center,56032 Morningstar Crossing,Hamilton,IA,10015,N,Elite+,N,7/9/2020,706,348,None,0,15,ZNWAA BestBuy,302 Anhalt Pass,Long Beach,CA,10015,B
16,16,16,KS,Kahlil,Groven,908-931-2267,kgrovenf@paginegialle.it,381 Upham Crossing,45819 Vera Terrace,Elizabeth,KS,10016,N,Standard,N,1/28/2020,265,307,None,0,16,MKL BestBuy,13 Nevada Terrace,Ocala,FL,10016,B
17,17,17,KY,Austin,Hallowell,832-694-3370,ahallowellg@theguardian.com,2 Fordem Junction,539 Rigney Avenue,Houston,KY,10017,N,Elite,N,1/1/2020,779,171,None,0,17,GLOB BestBuy,3 Eastlawn Crossing,Oklahoma City,OK,10017,E
18,18,18,LA,Paulette,Fink,850-724-7381,pfinkh@state.gov,3432 Farragut Way,01960 Ramsey Trail,Pensacola,LA,10018,Y,Standard,N,11/7/2020,672,921,None,0,18,ANDAR BestBuy,32 Jenifer Alley,Denver,CO,10018,B
19,19,19,ME,Windy,Sandeman,334-401-2194,wsandemani@cocolog-nifty.com,5729 Service Pass,9 Shelley Center,Montgomery,ME,10019,N,Standard,Y,10/19/2020,949,273,2-day,0.06,19,RCL BestBuy,6176 Sycamore Plaza,Chicago,IL,10019,E
