CCID,CustID,Card_Number,EXPDate,Baddress,BState,BCity,BZIP,SecCode,BB_CardFlag
549,478,3538174289402529,12/31/2023,9318 Dovetail Street,MT,Bozeman,90413,650,N
750,326,5610001964862109599,8/30/2021,61 Fair Oaks Drive,CT,Bridgeport,79767,868,Y
382,725,3583513350393543,6/9/2025,57 Transport Center,TX,Austin,85047,810,N
696,536,3534006824763615,5/20/2029,97617 Mallard Circle,NC,Asheville,84740,111,Y
881,100,3554727995417435,12/4/2021,79 Mosinee Place,MN,Minneapolis,24625,499,N
408,189,3556024980477121,10/17/2029,966 American Ash Parkway,AL,Mobile,10498,346,N
752,657,6333585437618085910,8/20/2022,0 Elgar Road,MT,Helena,62965,506,N
704,324,560222210324923929,2/13/2025,70 5th Alley,MN,Duluth,74884,953,Y
385,224,3564234735850841,2/5/2024,12 Granby Circle,WI,Green Bay,60089,606,Y
406,135,4041378411592028,6/15/2027,46 Spaight Point,NC,Charlotte,21792,414,N
467,590,3553758518942915,10/3/2027,078 Parkside Place,FL,Lakeland,72722,685,N
259,744,3576808355868989,6/3/2020,5894 Fulton Point,IN,Evansville,11071,963,N
245,926,5167626780111225,5/30/2022,7 Fairview Trail,DC,Washington,75560,630,N
890,730,3575895311209904,9/26/2027,5191 Petterle Alley,TX,Fort Worth,39578,191,Y
463,75,3541295519711150,2/2/2030,88 Logan Court,MO,Kansas City,22059,275,Y
184,210,50200610189105066,10/10/2020,637 Erie Way,MO,Saint Louis,19563,636,N
287,301,3563168616957500,1/30/2021,8696 Bartillon Plaza,CA,Sacramento,27602,123,Y
286,28,3556755394908553,8/18/2020,1 Morning Terrace,WA,Spokane,42736,768,Y
116,337,3533500487828484,3/27/2028,400 Delladonna Center,NY,Rochester,66450,954,N
610,936,4913668658652385,12/6/2020,40980 Merry Parkway,CA,Fresno,91386,563,Y
635,487,3538173446498578,1/20/2030,589 Northfield Street,MI,Lansing,57288,346,Y
757,713,5100173015180642,12/23/2021,625 Nobel Crossing,NC,Durham,44023,306,N
962,758,3556393022293154,4/29/2020,84 Macpherson Lane,ID,Boise,74708,880,N
318,414,374288200770740,9/22/2024,320 Towne Junction,CA,Long Beach,38928,213,N
968,120,3553299999479960,3/25/2021,8311 Bellgrove Point,PA,Reading,91069,376,Y
774,377,3577407341728974,9/23/2026,27 Dakota Hill,MI,Warren,30787,480,Y
889,832,374622536273906,1/18/2025,75 Sunfield Junction,CA,Los Angeles,30562,829,N
71,620,5602210997730573,1/10/2023,97 Londonderry Drive,TN,Chattanooga,28418,834,N
692,357,3545159132049610,5/21/2028,0 Elka Alley,NM,Albuquerque,90084,565,N
969,819,5048377367846370,9/4/2022,13 Butternut Plaza,UT,Provo,55256,988,Y
671,859,371535710872199,12/9/2024,67 Elka Alley,AZ,Phoenix,40263,476,Y
310,1,3557559882633098,4/22/2026,1509 Hansons Lane,CA,Pomona,95100,791,N
397,815,5007662004001615,7/17/2028,1238 Continental Street,CA,San Diego,94029,859,Y
446,533,3529380792286447,4/10/2028,6 Westport Trail,NY,New York City,29241,164,N
827,807,201844860256039,10/20/2027,25 Myrtle Parkway,TX,Corpus Christi,65654,189,Y
517,825,3560398585786415,4/26/2021,8858 Calypso Terrace,FL,Fort Lauderdale,81355,976,N
882,637,5108753040803151,11/25/2029,3 Bartelt Hill,FL,Boca Raton,57677,725,Y
509,800,4017952684529238,3/11/2021,64794 Quincy Terrace,TX,Fort Worth,97677,570,Y
920,721,3554325328850123,2/8/2029,360 Coleman Lane,DC,Washington,91741,805,Y
992,225,3573285954119861,10/24/2021,95 Morningstar Trail,CO,Colorado Springs,29156,312,Y
877,482,6389611740878717,6/28/2022,12066 Eastlawn Center,CA,Sacramento,20198,751,Y
300,129,3529611409909405,7/15/2022,93 Garrison Place,PA,Johnstown,23208,741,Y
123,957,3575999732824042,7/4/2030,23 Trailsway Junction,TN,Nashville,85984,312,Y
354,56,490570984036268538,1/15/2020,7244 Beilfuss Crossing,GA,Augusta,28732,802,N
282,446,4017950072806895,2/26/2030,8 Eagle Crest Place,CA,San Francisco,77372,297,Y
989,407,5602225920988973,11/29/2023,5791 Elka Park,MA,Boston,92447,659,N
817,249,4905607167588642272,2/8/2030,3828 Pine View Road,AL,Birmingham,14254,204,N
974,53,3581917125259339,1/21/2025,73920 Vermont Street,OH,Cleveland,53288,547,Y
526,104,3574134230709625,9/30/2021,7 Hansons Alley,FL,Ocala,74469,632,N
535,41,3579991375032633,5/14/2028,6 Loeprich Way,LA,New Orleans,52257,582,N
