CUSTID,RID,TRANSACID,SKU,WARRTICKID,QUANTITY,REVENUE,WARRTICKID_1,WARRID,AGENTID,ISSUE_DATE,PROBLEM,SOLUTION,ENDDATE,LABORHOURS,RATE,WARRTICKID_2,PARTID,PARTID_1,DESCRIPTION,COST,QUANTITY_1,WARRID_1,TLINEID,TYPE,TERM,AGENTID_1,FIRST_NAME,LAST_NAME
1,1,1,1,1,1,1,1,31,10,9/16/2019,error5,soln1,5/1/2020,7,4,1,1,1,Y-find,1893.86,32,31,31,Lifetime,1,10,Julian,Thamelt
2,2,2,2,9,2,2,9,13,32,10/29/2019,error1,soln7,6/12/2020,46,90,9,1,1,Y-find,1893.86,32,13,13,Lifetime,5,32,Cecily,Jennrich
3,3,3,3,19,3,3,19,10,2,9/16/2019,error8,soln4,6/17/2020,77,5,19,1,1,Y-find,1893.86,32,10,10,Lifetime,10,2,Humbert,Boodle
4,4,4,4,45,4,4,45,46,45,10/29/2019,error10,soln5,6/8/2020,68,97,45,1,1,Y-find,1893.86,32,46,46,Lifetime,5,45,Josie,Richings
5,5,5,5,12,5,5,12,45,27,10/29/2019,error8,soln5,8/19/2020,83,47,12,2,2,Mat Lam Tam,3128.44,27,45,45,Lifetime,5,27,Blair,Healeas
6,6,6,6,21,6,6,21,21,33,10/29/2019,error9,soln4,4/9/2020,7,80,21,2,2,Mat Lam Tam,3128.44,27,21,21,Limited,10,33,Alexandro,Slaght
7,7,7,7,1,7,7,1,31,10,9/16/2019,error5,soln1,5/1/2020,7,4,1,3,3,Vagram,7789.37,47,31,31,Lifetime,1,10,Julian,Thamelt
8,8,8,8,17,8,8,17,10,4,3/5/2019,error7,soln10,6/30/2020,27,73,17,3,3,Vagram,7789.37,47,10,10,Lifetime,10,4,Susanna,Gino
9,9,9,9,50,9,9,50,11,17,3/5/2019,error1,soln5,8/25/2020,89,74,50,3,3,Vagram,7789.37,47,11,11,Lifetime,5,17,Aurelia,Bewick
10,10,10,10,36,10,10,36,12,8,10/29/2019,error10,soln5,3/18/2020,46,26,36,4,4,Holdlamis,4468.28,40,12,12,Lifetime,10,8,Alyse,McGirr
11,11,11,11,4,11,11,4,3,30,9/16/2019,error5,soln10,4/29/2020,89,13,4,6,6,Konklux,1307.58,45,3,3,Lifetime,10,30,Kelbee,Arent
12,12,12,12,22,12,12,22,38,23,9/16/2019,error9,soln3,5/29/2020,90,19,22,6,6,Konklux,1307.58,45,38,38,Limited,1,23,Annadiana,Torrans
